country,visitors
United Kingdom,49137
Spain,48672
Italy,49360
Netherlands,32173
France,28313
Denmark,16923
Switzerland,20268
Russia,15992
Sweden,15146
Poland,23181
Austria,16158
Finland,8256
Belgium,10895
Norway,6786
"Ireland, Republic",5189
Ukraine,6012
Greece,3273
Turkey,5104
Czech Republic,7305
Portugal,4299
Romania,3385
Hungary,2996
Latvia,2269
Slovakia,1464
Iceland,1467
Lithuania,1867
Luxembourg,1821
Estonia,1621
Bulgaria,1065
Slovenia,1134
Croatia,1002
Cyprus,1114
Malta,476
USA,49448
Brazil,6673
Canada,6595
Israel,9583
China,14871
Arabic Gulf States,5757
Japan,5358
India,2717
South Korea,3914
Taiwan,1870
Australia,10974
"New Zealand, Oceania",1567
South Africa,715
