title,description/en,artistString,artists/0/title,artists/1/title,artists/2/title,artists/3/title,cityName,location/lat,href,location/lng,thumbnail,location/address,cityCountry,cityCountryShort
Brave Wall,,Katerina Voronina,Katerina Voronina,,,,Berlin,52.4986434,https://urban-nation.com/art-map/brave-wall-by-katerina-voronina/,13.4078097,https://urban-nation.com/wp-content/uploads/2021/03/UN_BraveWall_Header_v1_1440x675_210302-250x250.jpg,"Gitschiner Strasse 64-67, 10969 Berlin, Deutschland",Germany,DE
ONE WALL,,Roberto Rivadeneira,Roberto Rivadeneira,,,,Berlin,52.49928999999999,https://urban-nation.com/art-map/one-wall-roberto-rivadeneira/,13.356780000000072,https://urban-nation.com/wp-content/uploads/2020/09/UN_OW_Urku_Header_V2_200925-250x250.jpg,"Bülowstraße 101, 10783 Berlin, Deutschland",Germany,DE
ONE WALL,,STOHEAD,STOHEAD,,,,Berlin,52.53721,https://urban-nation.com/art-map/43639/,13.29522,https://urban-nation.com/wp-content/uploads/2020/07/UNPR20_OW_Stohead_1440x675_Header-v3_200727-250x250.jpg,"delpzeile 14, 13627 Berlin, Deutschland",Germany,DE
ONE WALL,,BUSTART,BUSTART,,,,Berlin,52.5771239,https://urban-nation.com/art-map/bustart/,13.2768769,https://urban-nation.com/wp-content/uploads/2020/07/ONE-WALL-Bustart_Websitebanner-250x250.jpg,"Neheimer Straße 8, 13507 Berlin, Deutschland",Germany,DE
ONE WALL,,Jim Avignon,Jim Avignon,,,,Berlin,52.57709750000001,https://urban-nation.com/art-map/jim-avignon/,13.27697939999996,https://urban-nation.com/wp-content/uploads/2020/06/Websiteheader-Jim-Avignon-ONE-WALL-Artpark-Tegel-250x250.jpg,"Neheimer Str. 8, 13507 Berlin, Deutschland",Germany,DE
ONE WALL,,Emily Eldridge,Emily Eldridge,,,,Berlin,52.4994421,https://urban-nation.com/art-map/one-wall-by-emily-eldridge/,13.4093283,https://urban-nation.com/wp-content/uploads/2020/03/UNPR20_OW_EmilyEldridge_Recap_1440x675_Header_200323-250x250.jpg,"Wassertorstraße 63, 10969 Berlin, Deutschland",Germany,DE
ONE WALL,,TANKPETROL & QUEENKONG,TANKPETROL,QUEENKONG,,,Berlin,52.5774826,https://urban-nation.com/art-map/tankpetrol-queenkong/,13.274879599999963,https://urban-nation.com/wp-content/uploads/TanKong-Pan-2-copy-250x250.jpg,"Neheimer Straße, 13507 Berlin, Deutschland",Germany,DE
ONE WALL,,Cristian Blanxer,Cristian Blanxer,,,,Berlin,52.57436,https://urban-nation.com/art-map/cristian-blanxer/,13.308209900000065,https://urban-nation.com/wp-content/uploads/UNPR19_OneWall_ChristianBlanxer_1200x1200_Post_190722-1-250x250.jpg,"Foxweg 1, 13403 Berlin, Deutschland",Germany,DE
ONE WALL,,Christan Böhmer,Christan Böhmer,,,,Berlin,52.49695999999999,https://urban-nation.com/art-map/christan-bohmer/,13.364689999999996,https://urban-nation.com/wp-content/uploads/UN-Böhmer-7263-250x250.jpg,"Bülowstraße 32, 10783 Berlin, Deutschland",Germany,DE
ONE WALL,,Fanakapan,Fanakapan,,,,Berlin,52.5363198,https://urban-nation.com/art-map/fanakapan/,13.406721500000003,https://urban-nation.com/wp-content/uploads/UN-Fanakapan-4749-copy-250x250.jpg,"Schwedter Straße 29, 10435 Berlin, Deutschland",Germany,DE
Untitled,,Nils Westergard,Nils Westergard,,,,Berlin,52.4986775,https://urban-nation.com/art-map/nils-westergard/,13.359363600000052,https://urban-nation.com/wp-content/uploads/Westergard-1587-copy-250x250.jpg,"Bülowstraße 94, 10783 Berlin, Deutschland",Germany,DE
Untitled,,Askew One,Askew One,,,,Berlin,52.5478432,https://urban-nation.com/art-map/askew-one/,13.413954399999966,https://urban-nation.com/wp-content/uploads/Askew_krish_revisted_2015-250x250.jpg,"Stargarder Str. 82, 10437 Berlin, Deutschland",Germany,DE
ONE WALL,,Axel Void,Axel Void,,,,Berlin,52.50067,https://urban-nation.com/art-map/axel-void/,13.412180000000035,https://urban-nation.com/wp-content/uploads/Untitled_Panorama1-copy-250x250.jpg,"Ritterstraße 117, 10969 Berlin, Deutschland",Germany,DE
ONE WALL,URBAN NATION UNITY PROJECT,SNIK & NUNO,SNIK,NUNO,,,Berlin,52.5496037,https://urban-nation.com/art-map/13343/,13.433420899999987,https://urban-nation.com/wp-content/uploads/BMF1914-1-250x250.jpg,"Ostseestraße 18, 10409  Berlin, Deutschland",Germany,DE
ONE WALL,URBAN NATION UNITY PROJECT,ELLE,ELLE,,,,Berlin,52.49538,https://urban-nation.com/art-map/elle-one-wall-for-the-urban-nation-unity-project/,13.437210100000016,https://urban-nation.com/wp-content/uploads/BMF3856-250x250.jpg,"Wiener Straße 42, 10999 Berlin, Deutschland",Germany,DE
ONE WALL,URBAN NATION UNITY PROJECT,MILLO,MILLO,,,,Berlin,52.50378,https://urban-nation.com/art-map/millo-one-wall-for-urban-nation-unity-project/,13.413530000000037,https://urban-nation.com/wp-content/uploads/2-4-250x250.jpg,"Luckauer Str. 12, 10969  Berlin, Deutschland",Germany,DE
ONE WALL,,TELMO MIEL & JAMES BULLOUGH,TELMO MIEL,JAMES BULLOUGH,,,Berlin,52.5047772,https://urban-nation.com/art-map/one-wall-by-telmo-miel-james-bullough/,13.380621499999961,https://urban-nation.com/wp-content/uploads/Bild1-3-250x250.png,"Bernburger Str. 35, 10963  Berlin, Deutschland",Germany,DE
Reification,URBAN NATION ONE WALL PROJECT 2018,Nevercrew,Nevercrew,,,,Berlin,52.5135474,https://urban-nation.com/art-map/reification-nevercrew-for-urban-nation-one-wall-project-2018/,13.311777200000051,https://urban-nation.com/wp-content/uploads/NEVERCREW-Reification-Berlin-2018-02-250x250.jpg,"Zillestraße 29, 10585  Berlin, Deutschland",Germany,DE
EPIC ONE WALL,,FRANCISCO BOSOLETTI & Young Jarus,FRANCISCO BOSOLETTI,Young Jarus,,,Berlin ,52.49909239999999,https://urban-nation.com/art-map/epic-one-wall-by-francisco-bosoletti-young-jarus/,13.410490200000027,https://urban-nation.com/wp-content/uploads/Normal-Fernsehturm-250x250.jpg,"Wassertorstraße 65, 10969 Berlin , Deutschland",Germany,DE
ONE WALL,,Axel Void,Axel Void,,,,Berlin,52.50083,https://urban-nation.com/art-map/axel-void-2/,13.411969999999997,https://urban-nation.com/wp-content/uploads/Axel-Void-Nika-Kramer-250x250.jpg,"Bergfriedstraße 11, 10969 Berlin, Deutschland",Germany,DE
ONE WALL,,Innerfields,Innerfields,,,,Berlin,52.53664,https://urban-nation.com/art-map/innerfields/,13.406640000000039,https://urban-nation.com/wp-content/uploads/NKN1195-copy-250x250.jpg,"Schwedter Straße 30, 10435 Berlin, Deutschland",Germany,DE
ONE WALL,, ZEZAO, ZEZAO,,,,Berlin,52.4986775,https://urban-nation.com/art-map/one-wall-by-zezao/,13.359363600000052,https://urban-nation.com/wp-content/uploads/unnamed34-250x250.png,"Bülowstraße 94, 10783 Berlin, Deutschland",Germany,DE
ONE WALL,,MARK BODÉ,MARK BODÉ,,,,Berlin,52.4975946,https://urban-nation.com/art-map/one-wall-by-mark-bode/,13.358374499999968,https://urban-nation.com/wp-content/uploads/unnamed23-250x250.png,"Schwerinstraße 3, 10783 Berlin, Deutschland",Germany,DE
ONE WALL,,DEIH XLF,DEIH XLF,,,,Berlin,52.49843569999999,https://urban-nation.com/art-map/one-wall-von-deih-xlf-david-de-la-mano/,13.357771800000023,https://urban-nation.com/wp-content/uploads/UN-DeLaMano-1Wall-021-NK-250x250.jpg,"Bülowstraße 11, 10783 Berlin, Deutschland",Germany,DE
